GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
19170,HYB002W,10,member,112,SUCCESS,17,Late payment fee,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,27,SUCCESS,16,Interest on delayed EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,112,SUCCESS,16,Late payment fee,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
668624,MPS3K002W,10,member,250,SUCCESS,9,EMI,UPI,2022-11-01,668624T1667289421560,,2022-11-01,2022-11-01,,SIPLY,no,
206486,HYB002W,31,member,1590,SUCCESS,17,EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,181,SUCCESS,17,Interest on delayed EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,112,SUCCESS,17,Late payment fee,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,3026,SUCCESS,16,EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,59,SUCCESS,16,Interest on delayed EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,17,SUCCESS,15,Interest on delayed EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
206486,HYB002W,31,member,15,SUCCESS,14,Interest on delayed EMI,UPI,2022-11-01,206486T1667289365693,2.31E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
1823268,MSRB011W,32,member,4000,SUCCESS,3,EMI,UPI,2022-11-01,1823268T1667289326024,,2022-11-01,2022-11-01,,SIPLY,no,
50118,IBG003Db,25,member,40,SUCCESS,30,Late payment fee,UPI,2022-10-31,50118T1667289307224,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
50118,IBG003Db,25,member,9960,SUCCESS,29,EMI,UPI,2022-10-31,50118T1667289307224,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
2382439,MSRB015W,4,member,4000,SUCCESS,1,EMI,CASH,2022-11-01,2382439T1667289185604,company chit,2022-11-01,2022-11-01,Pavan Kumar Bonagiri,OFFLINE,no,
668265,MPS24K001,12,member,2000,SUCCESS,9,EMI,UPI,2022-11-01,668265T1667289014422,,2022-11-01,2022-11-01,,SIPLY,no,
1014045,HYD002W,57,member,35,SUCCESS,17,EMI,PENALTY_WAIVE_OFF,2022-11-01,2048041,PENALTY_WAIVE_OFF,2022-11-01,2022-11-01,,OFFLINE,no,
2003723,MSRG032W,22,member,2000,SUCCESS,2,EMI,UPI,2022-11-01,2003723T1667288948742,,2022-11-01,2022-11-01,,SIPLY,no,
1014045,HYD002W,57,member,100,SUCCESS,17,EMI,PENALTY_WAIVE_OFF,2022-11-01,2048040,PENALTY_WAIVE_OFF,2022-11-01,2022-11-01,,OFFLINE,no,
